3,204

0,3
0,12
0,14
0,32
0,33
0,62
0,65
0,73
0,74
0,76
0,78
0,80
0,81
0,85
0,86
0,88
0,89
0,91
0,92
0,94
0,95
0,98
0,98
0,100
0,102
0,103
0,103
0,105
0,106
0,107
0,107
0,107
0,107
0,107
0,108
0,108
0,109
0,110
0,110
0,112
0,112
0,112
0,113
0,113
0,114
0,115
0,115
0,115
0,116
0,117
0,118
0,119
0,119
0,119
0,120
0,120
0,120
0,121
0,121
0,121
0,123
0,123
0,126
0,127
0,127
0,127
0,127
0,127
0,128
0,129
0,129
0,130
0,130
0,131
0,131
0,131
0,133
0,133
0,137
0, 

150,151
149,151
145,146
144,148
144,147
144,149
144,146
143,144
143,144
143,145
142,146
142,144
142,144
142,146
141,147
141,143
141,145
141,143
141,142
141,148
141,142
141,149
140,147
140,141
140,148
140,141
139,145
139,146
139,140
139,144
139,140
139,141
139,142
139,140
138,139
138,143
138,142
137,145
137,138
136,141
136,147
136,146
136,145
136,137
136,143
136,138
136,144
136,139
136,141
135,139
135,138
135,146
135,139
135,146
134,146
134,137
134,138
134,141
134,141
134,142
134,144
134,142
133,138
133,138
133,136
133,143
133,142
133,138
132,139
132,138
132,136
131,137
131,144
131,142
131,144
131,142
131,141
130,144
130,139
130,132
130,146
129,132
129,130
129,131
129,138
128,149
128,138
126,134
125,138
125,138
125,142
124,141
124,139
123,140
123,124
123,139
122,141
121,141
121,138
121,131
119,138
116,142
